Date,Calf_Price,Exchange_Rate_JPY_USD,U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),CPI,Corn_Price
1/1/1996,60.5,105.843,3.14,154.4,3.09
2/1/1996,60.2,105.788,3.16,154.9,3.37
3/1/1996,59.4,105.94,3.17,155.7,3.51
4/1/1996,55.1,107.1995455,3.22,156.3,3.85
5/1/1996,54.4,106.3422727,3.18,156.6,4.14
6/1/1996,55.1,108.96,3.41,156.7,4.2
7/1/1996,56.8,109.1909091,3.49,157,4.43
8/1/1996,59.3,107.8659091,3.46,157.3,4.3
9/1/1996,61,109.931,3.05,157.8,3.56
10/1/1996,60.1,112.4122727,2.94,158.3,2.88
11/1/1996,61.2,112.2957895,3.46,158.6,2.66
12/1/1996,61.8,113.9809524,4.18,158.6,2.63
1/1/1997,68.1,117.912381,4.28,159.1,2.69
2/1/1997,74.9,122.9621053,3.76,159.6,2.65
3/1/1997,80,122.7738095,3.07,160,2.79
4/1/1997,82.2,125.6377273,2.92,160.2,2.8
5/1/1997,84.3,119.192381,3.11,160.1,2.69
6/1/1997,85.4,114.2857143,3.41,160.3,2.56
7/1/1997,86.9,115.3759091,3.44,160.5,2.42
8/1/1997,88,117.9295238,3.34,160.8,2.5
9/1/1997,86.9,120.89,3.5,161.2,2.52
10/1/1997,84.3,121.0604545,3.86,161.6,2.54
11/1/1997,82.9,125.3816667,4.76,161.5,2.51
12/1/1997,83.3,129.7340909,3.42,161.3,2.52
1/1/1998,86.6,129.5475,3.08,161.6,2.56
2/1/1998,88.7,125.8515789,3.08,161.9,2.55
3/1/1998,89.8,129.0822727,3.06,162.2,2.55
4/1/1998,90.8,131.7536364,3.23,162.5,2.41
5/1/1998,88.9,134.896,3.12,162.8,2.34
6/1/1998,81.7,140.3304545,2.98,163,2.28
7/1/1998,76.6,140.7873913,3.31,163.2,2.19
8/1/1998,76.9,144.68,3.01,163.4,1.89
9/1/1998,74.1,134.4804762,2.78,163.6,1.84
10/1/1998,75.7,121.0485714,2.99,164,1.91
11/1/1998,77.5,120.2894737,2.99,164,1.93
12/1/1998,80.2,117.0709091,3.1,163.9,2
1/1/1999,83.2,113.29,2.85,164.3,2.06
2/1/1999,86.9,116.6684211,2.92,164.5,2.05
3/1/1999,87.3,119.4730435,2.77,165,2.06
4/1/1999,88.2,119.7722727,2.88,166.2,2.04
5/1/1999,87.6,121.9995,3.25,166.2,1.99
6/1/1999,89,120.7245455,3.12,166.2,1.97
7/1/1999,89.2,119.3304762,3.11,166.7,1.74
8/1/1999,89.6,113.2268182,3.39,167.1,1.75
9/1/1999,90.9,106.8752381,3.59,167.9,1.75
10/1/1999,91.9,105.965,3.21,168.2,1.69
11/1/1999,93,104.6485,3.71,168.3,1.7
12/1/1999,98.6,102.5843478,3.19,168.3,1.82
1/1/2000,103,105.296,3.27,168.8,1.91
2/1/2000,105,109.3885,3.48,169.8,1.98
3/1/2000,109,106.3073913,3.54,171.2,2.03
4/1/2000,111,105.627,3.72,171.3,2.03
5/1/2000,107,108.3204545,4.15,171.5,2.11
6/1/2000,104,106.1254545,5.19,172.4,1.91
7/1/2000,106,108.2115,5.2,172.8,1.64
8/1/2000,106,108.0804348,4.63,172.8,1.52
9/1/2000,103,106.8375,5.21,173.7,1.61
10/1/2000,103,108.4428571,5.66,174,1.74
11/1/2000,106,109.0095238,5.2,174.1,1.86
12/1/2000,106,112.209,6.64,174,1.97
1/1/2001,108,116.6719048,8.91,175.1,1.98
2/1/2001,109,116.2336842,7.08,175.8,1.96
3/1/2001,112,121.505,6.1,176.2,1.96
4/1/2001,111,123.7709524,6.3,176.9,1.89
5/1/2001,111,121.7681818,5.77,177.7,1.82
6/1/2001,110,122.3509524,5.38,178,1.76
7/1/2001,108,124.4980952,4.03,177.5,1.87
8/1/2001,106,121.3669565,4.32,177.5,1.9
9/1/2001,107,118.6116667,3.66,178.3,1.91
10/1/2001,99.9,121.4536364,3.37,177.7,1.84
11/1/2001,96.9,122.4055,4.02,177.4,1.85
12/1/2001,101,127.5945,3.9,176.7,1.98
1/1/2002,102,132.6833333,3.79,177.1,1.97
2/1/2002,105,133.6426316,3.76,177.8,1.93
3/1/2002,105,131.0609524,3.84,178.8,1.94
4/1/2002,101,130.7718182,4.21,179.8,1.91
5/1/2002,99.5,126.375,4.07,179.8,1.93
6/1/2002,96.5,123.2905,4.15,179.9,1.97
7/1/2002,95.2,117.8990909,3.95,180.1,2.13
8/1/2002,94.9,118.9927273,3.67,180.7,2.38
9/1/2002,92.4,121.078,3.99,181,2.47
10/1/2002,92,123.9077273,4.32,181.3,2.34
11/1/2002,91.9,121.6078947,4.65,181.3,2.28
12/1/2002,95.3,121.8928571,4.74,180.9,2.32
1/1/2003,96.8,118.8133333,5.28,181.7,2.33
2/1/2003,97.2,119.3378947,5.83,183.1,2.34
3/1/2003,96.7,118.6871429,7.63,184.2,2.33
4/1/2003,98.9,119.895,5.6,183.8,2.34
5/1/2003,100,117.3680952,5.69,183.5,2.38
6/1/2003,101,118.3290476,6.4,183.7,2.34
7/1/2003,102,118.6959091,5.83,183.9,2.17
8/1/2003,106,118.662381,5.48,184.6,2.15
9/1/2003,109,114.8,5.58,185.2,2.2
10/1/2003,112,109.4954545,5.33,185,2.12
11/1/2003,111,109.1777778,5.54,184.5,2.2
12/1/2003,112,107.7377273,5.89,184.3,2.31
1/1/2004,110,106.2685,6.41,185.2,2.39
2/1/2004,111,106.7078947,6.35,186.2,2.61
3/1/2004,115,108.5156522,6.23,187.4,2.75
4/1/2004,117,107.6563636,6.31,188,2.89
5/1/2004,121,112.196,6.48,189.1,2.87
6/1/2004,125,109.4336364,6.94,189.7,2.79
7/1/2004,130,109.4871429,6.68,189.4,2.51
8/1/2004,131,110.2336364,6.51,189.5,2.34
9/1/2004,128,110.0914286,6.06,189.9,2.2
10/1/2004,126,108.7835,6.3,190.9,2.14
11/1/2004,123,104.699,7.5,191,2.05
12/1/2004,122,103.8104348,7.49,190.3,2.04
1/1/2005,126,103.341,7.05,190.7,2.12
2/1/2005,129,104.9442105,7.09,191.8,1.95
3/1/2005,136,105.2543478,7.24,193.3,2.02
4/1/2005,141,107.1938095,7.79,194.6,2
5/1/2005,143,106.5952381,7.51,194.4,1.98
6/1/2005,140,108.7472727,7.3,194.5,2.03
7/1/2005,133,111.9535,7.68,195.4,2.11
8/1/2005,133,110.6065217,8.2,196.4,1.95
9/1/2005,135,111.2390476,10.26,198.8,1.9
10/1/2005,135,114.8695,12.16,199.2,1.82
11/1/2005,137,118.454,11.57,197.6,1.77
12/1/2005,137,118.462381,10.77,196.8,1.92
1/1/2006,141,115.4765,10.8,198.3,2
2/1/2006,143,117.8605263,9.34,198.7,2.02
3/1/2006,139,117.2778261,8.81,199.8,2.06
4/1/2006,137,117.0695,8.29,201.5,2.11
5/1/2006,134,111.7304545,7.99,202.5,2.17
6/1/2006,135,114.625,7.39,202.9,2.14
7/1/2006,137,115.767,7.4,203.5,2.14
8/1/2006,136,115.9243478,8.1,203.9,2.09
9/1/2006,136,117.2145,7.68,202.9,2.2
10/1/2006,128,118.6090476,6.42,201.8,2.55
11/1/2006,119,117.3204762,8.47,201.5,2.88
12/1/2006,116,117.322,8.66,201.8,3.01
1/1/2007,114,120.4471429,7.88,202.416,3.05
2/1/2007,114,120.5047368,8.57,203.499,3.44
3/1/2007,122,117.26,8.79,205.352,3.43
4/1/2007,125,118.932381,8.2,206.686,3.39
5/1/2007,124,120.7731818,8.41,207.949,3.49
6/1/2007,124,122.6885714,8.45,208.352,3.53
7/1/2007,126,121.4147619,8.02,208.299,3.32
8/1/2007,127,116.7334783,7.6,207.917,3.26
9/1/2007,126,115.0435,7,208.49,3.28
10/1/2007,123,115.866087,7.43,208.936,3.29
11/1/2007,122,111.0728571,8.14,210.177,3.44
12/1/2007,120,112.449,8.27,210.036,3.77
1/1/2008,117,107.8180952,8.37,211.08,3.98
2/1/2008,120,107.03,8.91,211.693,4.54
3/1/2008,118,100.7561905,9.49,213.528,4.7
4/1/2008,116,102.6777273,9.84,214.823,5.14
5/1/2008,120,104.3595238,11.05,216.632,5.27
6/1/2008,118,106.9152381,11.85,218.815,5.47
7/1/2008,114,106.8518182,12.48,219.964,5.25
8/1/2008,117,109.362381,10.2,219.086,5.26
9/1/2008,113,106.5747619,8.99,218.783,5.01
10/1/2008,106,99.96590909,7.8,216.573,4.37
11/1/2008,105,96.96555556,7.93,212.425,4.26
12/1/2008,98.9,91.275,8.16,210.228,4.11
1/1/2009,107,90.1205,7.97,211.143,4.36
2/1/2009,106,92.91578947,7.26,212.193,3.87
3/1/2009,107,97.855,6.85,212.709,3.85
4/1/2009,111,98.92,5.71,213.24,3.85
5/1/2009,111,96.6445,5.49,213.856,3.96
6/1/2009,109,96.61454545,5.55,215.693,4.01
7/1/2009,109,94.36695652,5.7,215.351,3.6
8/1/2009,109,94.89714286,5.61,215.834,3.33
9/1/2009,106,91.2747619,5.37,215.969,3.25
10/1/2009,104,90.36714286,5.65,216.177,3.61
11/1/2009,105,89.26736842,6.34,216.33,3.65
12/1/2009,106,89.95090909,6.22,215.949,3.6
1/1/2010,110,91.10105263,6.84,216.687,3.66
2/1/2010,113,90.13947368,6.64,216.741,3.55
3/1/2010,117,90.71608696,6.5,217.631,3.55
4/1/2010,124,93.45272727,5.88,218.009,3.41
5/1/2010,124,91.973,5.81,218.178,3.48
6/1/2010,122,90.80590909,6.02,217.965,3.41
7/1/2010,122,87.50047619,6.31,218.011,3.49
8/1/2010,123,85.37272727,6.22,218.312,3.65
9/1/2010,118,84.35714286,5.72,218.439,4.08
10/1/2010,121,81.7285,5.7,218.711,4.32
11/1/2010,125,82.518,5.48,218.803,4.55
12/1/2010,130,83.33761905,5.74,219.179,4.82
1/1/2011,136,82.625,5.69,220.223,4.94
2/1/2011,139,82.53684211,5.75,221.309,5.65
3/1/2011,148,81.64695652,5.73,223.467,5.53
4/1/2011,147,83.17714286,5.62,224.906,6.36
5/1/2011,137,81.12571429,5.8,225.964,6.32
6/1/2011,133,80.42590909,6.12,225.722,6.38
7/1/2011,138,79.2425,6.16,225.922,6.33
8/1/2011,134,76.96565217,6.19,226.545,6.88
9/1/2011,132,76.79571429,5.94,226.889,6.38
10/1/2011,145,76.643,5.45,226.421,5.73
11/1/2011,153,77.5595,5.29,226.23,5.83
12/1/2011,157,77.79666667,5.03,225.672,5.86
1/1/2012,176,76.964,4.85,226.665,6.07
2/1/2012,189,78.47,4.73,227.663,6.28
3/1/2012,188,82.46590909,4.84,229.392,6.35
4/1/2012,180,81.25238095,4.19,230.085,6.34
5/1/2012,179,79.66681818,4.3,229.815,6.34
6/1/2012,171,79.3152381,4.63,229.478,6.37
7/1/2012,156,78.9347619,4.88,229.104,7.14
8/1/2012,162,78.69086957,5.13,230.379,7.63
9/1/2012,168,78.13526316,4.76,231.407,6.89
10/1/2012,169,79.01318182,4.65,231.317,6.78
11/1/2012,165,81.0305,4.79,230.221,7.01
12/1/2012,168,83.7905,4.79,229.601,6.87
1/1/2013,171,89.05809524,4.52,230.28,6.96
2/1/2013,170,93.00157895,4.56,232.166,7.04
3/1/2013,163,94.77,4.75,232.773,7.13
4/1/2013,159,97.75818182,5.16,232.531,6.97
5/1/2013,157,100.9186364,5.55,232.945,6.97
6/1/2013,152,97.235,5.74,233.504,6.97
7/1/2013,162,99.67272727,5.51,233.596,6.79
8/1/2013,178,97.81227273,5.24,233.877,6.21
9/1/2013,200,99.21,5.21,234.149,5.4
10/1/2013,190,97.77,4.88,233.546,4.63
11/1/2013,192,100.0736842,4.78,233.069,4.37
12/1/2013,197,103.46,4.93,233.049,4.41
1/1/2014,208,103.7614286,5.56,233.916,4.42
2/1/2014,209,102.1252632,6.41,234.781,4.35
3/1/2014,216,102.3395238,6.57,236.293,4.52
4/1/2014,222,102.4581818,5.64,237.072,4.71
5/1/2014,229,101.7738095,5.9,237.9,4.71
6/1/2014,249,102.0628571,6.05,238.343,4.5
7/1/2014,257,101.74,5.99,238.25,4.06
8/1/2014,271,102.9438095,5.49,237.852,3.63
9/1/2014,279,107.4257143,5.51,238.031,3.49
10/1/2014,307,108.0263636,5.16,237.433,3.57
11/1/2014,305,116.2994444,4.91,236.151,3.6
12/1/2014,303,119.3233333,5.15,234.812,3.79
1/1/2015,288,118.25,4.48,233.707,3.82
2/1/2015,277,118.76,4.57,234.722,3.79
3/1/2015,290,120.3945455,4.35,236.119,3.81
4/1/2015,288,119.5095455,3.93,236.599,3.75
5/1/2015,288,120.798,4.25,237.805,3.64
6/1/2015,292,123.7186364,4.44,238.638,3.59
7/1/2015,275,123.3109091,4.65,238.654,3.8
8/1/2015,273,123.0038095,4.59,238.316,3.68
9/1/2015,241,120.147619,4.56,237.945,3.68
10/1/2015,234,120.0480952,4,237.838,3.67
11/1/2015,217,122.6431579,3.69,237.336,3.59
12/1/2015,193,121.635,3.75,236.525,3.65
1/1/2016,193,118.2257895,3.39,236.916,3.66
2/1/2016,192,114.6155,3.48,237.111,3.58
3/1/2016,197,112.9317391,3.49,238.132,3.56
4/1/2016,180,109.5519048,3.22,239.261,3.56
5/1/2016,170,109.8118182,3.44,240.229,3.68
6/1/2016,157,105.4513636,3.84,241.018,3.82
7/1/2016,145,104.0942857,4.42,240.628,3.6
8/1/2016,153,101.3086957,4.33,240.849,3.21
9/1/2016,139,101.8322727,4.6,241.428,3.22
10/1/2016,134,103.8509524,4.19,241.729,3.29
11/1/2016,143,108.63,3.9,241.353,3.24
12/1/2016,148,116.1195455,3.96,241.432,3.32
1/1/2017,152,114.9213636,4.21,242.839,3.4
2/1/2017,151,112.986,4.13,243.603,3.44
3/1/2017,159,112.913913,3.84,243.801,3.49
4/1/2017,164,110.042,4.2,244.524,3.43
5/1/2017,171,112.2452174,4.42,244.733,3.45
6/1/2017,164,110.9659091,4.82,244.955,3.43
7/1/2017,157,112.3857143,4.73,244.786,3.49
8/1/2017,163,109.8382609,4.61,245.519,3.27
9/1/2017,173,110.8057143,4.52,246.819,3.27
10/1/2017,177,112.9322727,4.03,246.663,3.26
11/1/2017,177,112.8236364,3.97,246.669,3.15
12/1/2017,174,112.9304762,4,246.524,3.23
1/1/2018,174,110.9678261,4.36,247.867,3.29
2/1/2018,180,107.7802273,3.99,248.991,3.38
3/1/2018,175,105.9856452,3.69,249.554,3.51
4/1/2018,170,107.5981267,3.65,250.546,3.58
5/1/2018,165,109.6705484,4.14,251.588,3.68
6/1/2018,158,110.0791333,4.49,251.989,3.58
7/1/2018,153,111.3934226,4.5,252.006,3.47
8/1/2018,160,111.0062419,5.25,252.146,3.36
9/1/2018,169,111.9634852,4.72,252.439,3.4
10/1/2018,174,112.746937,4.1,252.885,3.42
11/1/2018,169,113.3221,4.28,252.038,3.41
12/1/2018,166,112.1641192,4.72,251.233,3.54
1/1/2019,169,108.9168296,4.03,251.712,3.56
2/1/2019,170,110.3920125,3.91,252.776,3.6
3/1/2019,170,111.1217654,4.07,254.202,3.61
4/1/2019,174,111.6945385,3.72,255.548,3.53
5/1/2019,148,109.9846074,3.66,256.092,3.63
6/1/2019,149,108.051944,4.17,256.143,3.98
7/1/2019,144,108.2279115,4.17,256.571,4.16
8/1/2019,142,106.160837,4.15,256.558,3.93
9/1/2019,144,107.525252,4.07,256.759,3.8
10/1/2019,154,108.1231704,3.42,257.346,3.85
11/1/2019,158,108.8967962,3.46,257.208,3.68
12/1/2019,159,109.1458654,3.5,256.974,3.71
1/1/2020,168,109.2726667,3.26,257.971,3.79
2/1/2020,168,109.919632,3.09,258.678,3.78
3/1/2020,160,107.7155,3.25,258.115,3.68
4/1/2020,151,107.8163654,3.05,256.389,3.29
5/1/2020,151,107.2325308,3.31,256.394,3.2
6/1/2020,149,107.6249923,3.81,257.797,3.16
7/1/2020,149,106.7586556,3.92,259.101,3.21
8/1/2020,153,106.0052462,4.09,259.918,3.12
9/1/2020,155,105.6138115,4.07,260.28,3.41
10/1/2020,156,105.2065074,3.5,260.388,3.61
11/1/2020,162,104.35322,3.81,260.229,3.79
12/1/2020,165,103.7607926,3.57,260.474,3.97
1/1/2021,165,103.76955,3.27,261.582,4.24
2/1/2021,167,105.4275,12.1,263.014,4.75
3/1/2021,163,108.7758889,4.09,264.877,4.89
4/1/2021,168,109.0757269,3.92,267.054,5.31
5/1/2021,159,109.1649423,4.34,269.195,5.91
6/1/2021,159,110.1426231,5.05,271.696,6
7/1/2021,165,110.2485731,5.58,273.003,6.12
8/1/2021,175,109.8458308,5.72,273.567,6.32
9/1/2021,173,110.1625269,5.95,274.31,5.47
10/1/2021,175,113.1579192,6.43,276.589,5.02
11/1/2021,174,114.0071923,6.04,277.948,5.26
12/1/2021,181,113.8928037,5.87,278.802,5.47
1/1/2022,185,114.8465423,5.48,281.148,5.58
2/1/2022,194,115.2469333,5.78,283.716,6.09
3/1/2022,187,118.6942259,5.55,287.504,6.56
4/1/2022,186,126.42355,6.32,289.109,7.07
5/1/2022,183,128.7926731,8.21,292.296,7.26
6/1/2022,184,134.1224846,9.91,296.311,7.38
7/1/2022,186,136.5262308,8.79,296.276,7.25
8/1/2022,197,135.3981,10.2,296.171,7.24
9/1/2022,195,143.1059192,9.69,296.808,7.09
10/1/2022,200,147.0515538,6.79,298.012,6.49
11/1/2022,203,141.9544538,6.72,297.711,6.49
12/1/2022,206,134.7635333,8.11,296.797,6.58
1/1/2023,209,130.2698538,9.12,299.17,6.63
2/1/2023,217,133.1330208,6.57,300.84,6.8
3/1/2023,230,133.5998111,5.11,301.836,6.67
4/1/2023,244,133.526928,4.31,303.363,6.7
5/1/2023,251,137.204863,4.01,304.127,6.54
6/1/2023,260,141.3542885,4.54,305.109,6.49
7/1/2023,262,141.1191654,4.82,305.691,6.22
8/1/2023,272,144.8053259,4.86,307.026,5.73
9/1/2023,279,147.8504,4.9,307.789,5.21
10/1/2023,297,149.5597741,4.11,307.671,4.93
11/1/2023,290,149.8078967,4.37,307.051,4.66
12/1/2023,280,143.6685613,4.44,306.746,4.8
1/1/2024,300,146.2943,4.78,308.417,4.74
2/1/2024,311,149.615,4.52,310.326,4.36
3/1/2024,328,149.8186,4,312.332,4.36
4/1/2024,318,153.89,3.38,313.548,4.39
5/1/2024,323,155.8691,3.68,314.069,4.51
6/1/2024,318,157.86,4.29,314.175,4.48
7/1/2024,306,157.5182,4.53,314.54,4.23
8/1/2024,290,146.2641,4.14,314.796,3.84
9/1/2024,289,142.954,4.21,315.301,3.98
10/1/2024,322,149.8909,4.08,315.664,3.99
11/1/2024,334,153.7126,3.99,315.493,4.07
12/1/2024,356,153.8143,4.4,315.605,4.23
1/1/2025,367,156.4819,4.86,317.671,4.29
2/1/2025,364,151.5716,4.84,319.082,4.58
3/1/2025,378,149.0576,4.88,319.799,4.57
4/1/2025,394,144.1286,4.5,320.795,4.62
5/1/2025,405,144.8762,4.62,321.465,4.64
6/1/2025,400,144.4835,4.81,322.561,4.47
7/1/2025,408,147.2014,5.16,323.048,4.29
8/1/2025,437,147.4786,5.18,323.976,3.96
9/1/2025,447,147.8629,5.11,324.8,4
10/1/2025,491,151.3545,4.5,324.461,3.93
11/1/2025,452,155.1411,4.62,324.122,3.98
